id,company,url,experience
0205,Wisdom Valley Limited,WWW.WISDOMVALLEY.NET,10
0206,Dream Line IT Solution,dreamlineit.com,14
0207,Technique Electronics,www.techniquebd.com,8
0208,EXPERT CLEAN LAUNDRY,www.excl360.com,9
0209,Doctorola Limited,www.doctorola.com,8
0210,Cloud Coder,www.cloud-coder.com,9
0211,NR Hosting Limited,www.nrhosting.com,11
0212,N I Biz Soft,www.nibizsoft.com,10
0213,Mybeats,www.mybeatsbd.com,9
0214,Ekroybd,www.ekroybd.com,10
0215,Organic foods bd,www.organicfoodbd.com,9
0216,Pure product bd,www.pureproductbd.com,9
0217,Angel Corporation,https://activecart.com.bd,9
0218,Diabetes Store Limited,https://diabetesstore.com.bd,8
0219,Nusratech,www.nusrattech.com,10
0220,Inspire Bangladesh,www.facebook.com/inspirebdfashion/,19
0221,Techtucker,techtucker.com,9
0222,FK Craft & Fashion (Adore),www.fkcraft.com,12
0223,NokshiBazar,www.nokshibazar.com,9
0224,Kultuer Limited,https://www.kultuer.com/,16
0225,Raid International,www.raidtrading.com,9
0226,Jafrin's Fashion,https://www.facebook.com/jafrinsfashion/,10
0227,CRYSTAL IT MEDIA,www.crystalitmedia.com,19
0228,CN BAZAR,www.cnbazar.com,8
0229,Intimacy Computer & Solutions,www.intimacy.com.bd,8
0230,Light Speed Source,https://lightspeedsource.xyz/,11
0231,E4T 360,e4t360.com,9
0232,Computer Source Info Tech Limited,www.computersourcebd.com,9
0233,Computer Source Limited,www.computersourcebd.com,8
0234,J.A.N. Associates,www.jan-bd.com,10
0235,Anannya International Ltd.,www.facebook.com/anannya.international/,10
0236,Creative Spotlight (shopping24bd.com),shopping24bd.com,9
0237,Jamdani Mela,www.jamdanimela.com,9
0238,T-2 Computer System,No Website,10
0239,HTS Corporation Ltd.,www.htsbd.com,8
0240,Unico Bangladesh,www.nextstep-bd.com,9
0241,Astrum Technologies (BD),www.astrumltd.com,8
0242,Redline,www.facebook.com/redlinedesignstudio?fref=ts,8
0243,Flashraj IT,www.flashraj.com,8
0244,Fair Food and Lifestyle,www.ffl.com.bd,8
0245,House De Arch Ltd.,www.einteriorhub.com,8
0246,Bdebazaar,www.facebook.com/bdebazaar/,8
0247,P&D Trading,www.ebaystar.com,8
0248,Straplinebd,www.straplinebd.com,8
0249,Rigel-IT,www.facebook.com/Rigel-IT-LLC-270480543111964/,8
0250,Extent IT Institute,http://www.extentit-inst.com/home.php,10
0251,Prottasa dot com,"www.prottasa.com, https://www.facebook.com/prottasa.com",10
0252,Aayesh.com,www.facebook.com/aayesh.com.bd/?fref=ts,9
0253,Bajpakhi Limited,www.bajpakhi.org,9
0254,Casada Tecnology Bangladesh Ltd. (Payzabd),www.casadatech.com,10
0255,Fast Courier,www.facebook.com/Fastcourier.com.bd/?fref=ts,8
0256,Shaheen Food Suppliers,shaheenfood.com.bd,10
0257,Mohanogor.com,www.mohanogor.com,10
0258,IT Gateway,No Website,9
0259,E-Motion,www.e-motionbd.com,9
0260,ALOHA ISHOPPE,http://alohaishoppe.com.bd/,10
0261,Auto Fire Fighting Co. Ltd.,www.facebook.com/autofirefighting,8
0262,Stylishbd,www.facebook.com/StylishbdDotCom/,10
0263,Global Digital Mart Ltd.,www.gdmart.com.bd,10
0264,Dhrubo Host,www.dhrubohost.com,9
0265,BRIT Wire,www.britwire.com,9
0266,Bibahabd.com,www.bibahabd.com,10
0267,Kenakata BD,www.kenakatabd.com,8
0268,BikroyBazaar.com,www.bikroybazaar.com,9
0269,Aurthi Collections,www.banglamade.com,10
0270,Host Might,www.hostmight.com,9
0271,Triangular Corporation,www.triangularco.com,9
0272,Mangrove International,www.parmeeda.com,10
0273,Curis Incorporation,http://www.chikitshok.com/,8
0274,Blue BD Limited,www.bluebellbd.com,10
0275,Wintel Limited,www.wintelbd.com,10
0276,Era cell Limited,www.buymobile.com.bd,9
0277,Phoenix IT Limited,www.phoenixit.com.bd,9
0278,M/S hashtag,www.hashtaggroup.org,10
0279,Ariyan Multimedia Network Ltd.,http://ariyanmultimedia.com/,8
0280,Shoptomi.com,www.shoptomi.com,10
0281,Chorki Limited,www.chorki.com,10
0282,Sadiik.com,www.facebook.com/groups/977081239002084/,9
0283,Marketever,www.marketever.com,9
0284,Sherpurbazar,www.facebook.com/SherpurBazar/?fref=ts,10
0285,Satkhira Consulting Firm Ltd.,www.scflbd.com,13
0286,Five Star Corporation,,8
0287,Shahed And Brothers,www.shahidbrothers.com,10
0288,SENSEFORWEB LIMITED,www.senseforweb.com,10
0289,Mixed Bazar,www.mixedbazar.com,9
0290,Cholti,www.cholti.com,9
0291,Incepsys Ltd.,www.incepsys.com,10
0292,Amar Hotel,www.aamarhotel.com,10
0293,Storrea Pvt Limited,www.storrea.com,10
0294,Amber IT Limited (Quickbuy.com.bd),www.quickbuy.com.bd,10
0295,Ezzebrand.(Dot Design),www.makceramic.com,9
0296,Scatching Soul,No website,9
0297,Digital Solutions Limited,https://www.facebook.com/digitalsolutionsltd/,9
0298,Encouragebd,https://www.facebook.com/groups/encouragebd/,9
0299,Green Finger,No Website,9
0300,Focus Frame,focusframe.com.bd,9
0301,Western Consulting Firm,https://www.facebook.com/WesternTravelsTours/,8
0302,Computer Forensic Expert Ltd,,8
0303,Umbrella Service,f,8
0304,Tasia Holdings Limited,www.telekomasia.com,8
0305,Jewel Trading Corporation,www.gmdu.net/corp-171188.html,8
0306,Market24,www.market24.pro,8
0307,Master Engineering Technology,www.epartnerbd.com,10
0308,Akuprets,t,10
0309,Rene Bangladesh,www.renebd.com,10
0310,STAR TECH & ENGINEERING LTD.,www.stel.com.bd,16
0311,Hawkersbd,www.hawker.com.bd,10
0312,NYK Advance Ltd,http://www.nyk-advance.com/,10
0313,ijspark.com,http://ijspark.com/,10
0314,joliara.com,http://www.joliara.com/,10
0315,KARUDHARA,www.facebook.com/Karudhara19/?fref=ts,10
0316,Delivseen,www.facebook.com/DelivSeen/,10
0317,Moody Bull Premium Leather,www.moody-bull.com,10
0318,Razia International,www.raziainternational.com/,10
0319,Soldier71,www.solier71.com,10
0320,Organic Online.com.bd(PC Link IT Palli Limited),http://pclinkitbd.com/,10
0321,Chattala Hat.com,www.chattalahat.com,10
0322,BondhuStore.com (Boondhu.com),www.boondhu.com,10
0323,Diabazar.com,www.diabazar.com,10
0324,LivewellBD,www.livewellbd.com,10
0325,SHADHIIN.COM,SHADHIIN.COM,10
0326,Pocketbd,www.pocketbd.com,8
0327,UDJOG BANGLADESH,www.udjog.com,8
0328,NREACH-NET(PVT)Ltd,www.nreach.net.bd,15
0329,Ticket Chai ltd,http://ticketchai.com/about-us,7
0330,New Moon Clothing Design House,www.nmclothing.com,7
0331,Hello bd.net ltd,www.hellobd.com.bd,7
0332,DEKHE KINUN BD.COM,http://dekhekinunbd.com/,7
0333,Jadroo E-Commerce Ltd A Sister Concern of JADROO GROUP,www.jadroo.com,7
0334,Jadroo BPO LTD,www.jadroobpo.com,7
0335,Jadroo IT (BD) LTD,www.jadrooit.com,7
0336,Korea MTS Ltd,www.koreamts.com,7
0337,Gigabyte Bangladesh,vb,7
0338,Host Clation,www.hostclation.com,7
0339,Shadmart Bangladesh,www.shadmart.com,7
0340,All Market bd,www.allmarket.com.bd,7
0341,OVO Technology,http://ovotechnology.com/,8
0342,Versatile Mart,https://versatilemart.com/,7
0343,ITES Services,dd,7
0344,Dream Market International,http://www.dreammarketbd.com/,7
0345,Smart Web Source,http://www.smartwebsource.com/,7
0346,Mega Mart 24,http://www.megamart24.com/,7
0347,Pear Pop co ltd,https://pearbd.com/,7
0348,Saifur's PVT LTD,http://saifurs.org/,7
0349,Metro Net Bangladesh Limited,www.metronet.bd,8
0350,Akhoni.com ltd/Bagdoom.com,https://www.bagdoom.com/,7
0351,kaymu.com,http://www.kaymu.com.bd/,7
0352,Binary Quest Ltd,http://www.binaryquest.com/,7
0353,Road2shop.com limited,https://www.facebook.com/road2shopbd/,7
0354,Blease Treading House,d,7
0355,Nexkode limited,http://www.nexkode.com/,7
0356,Embroyonic Enterprise,https://www.facebook.com/pages/EmbryonicEnterprise/1112,7
0357,Ok Shop BD,http://okshopbd.com/,7
0358,aliamart.com,http://alliamart.com/,7
0359,Nee's collection boutique,http://www.neescollection.com/,7
0360,ABEDON,http://www.model-test.com/,7
0361,INPACE MANAGEMENT SERVICES LTD,http://www.shulav.com/,7
0362,MELA BAZAR,www.melabazar.com,7
0363,Crystal Technology Bangladesh Ltd,www.ctechbd.com,7
0364,Banijjo Mela,www.banijjo.com,10
0365,Huzaifa Enterprize,www.huzaifabd.com,7
0366,Allponno.com,http://www.allponno.com/,7
0367,Hoorahoori.com,http://www.hoorahoori.com/,7
0368,Trendy Rumor,www.trendyrumor.com,7
0369,Interior Sketch .com,www.interiorsketch.com,7
0370,Limitless Solutions Limited,http://www.limitless-bd.com/,7
0371,Purple Algorithm Ltd,http://www.purplealgorithm.com/,7
0372,COALESCE (PVT.) LIMITED,http://www.coalescebd.com/,7
0373,Genius Technology,http://www.geniusbd.com/,19
0374,Spark Data Tech Ltd,http://sparkdatatech.com/,7
0375,Khaas Food Limited,www.khaasfood.com,7
0376,PICKADEL,http://www.pickadel.com/,7
0377,New Adnan Traders,http://www.newadnantraders.com/,7
0378,somotol,http://www.somotol.com/,7
0379,AZM Dream House,https://www.facebook.com/AzmFashionStore/?fref=ts,7
0380,TAN,http://tanbd.com/,7
0381,Big Bag BD.Com,http://www.bigbagbd.com/,8
0382,Aparna Fashion Tex,http://www.aparnafashiontex.com/,8
0383,Tasnim Corporation,https://www.facebook.com/pages/TasnimCorporation/397879,8
0384,Wear Bazar,http://wearbazar.com/,8
0385,Hothath.com,http://hothath.com/,8
0386,Paperfly Private Limited,http://www.paperfly.com.bd/,8
0387,Drug BD,http://drugbd.com/,8
0388,Amar Shop 24 Ltd,http://www.amarshop24.com/,7
0389,surprise Diary,http://surprisediary.com/,7
0390,Zuum Zuum Ltd,http://zuumzuum.com/,7
0391,Rangabali bd,www.rangabalibd.com,7
0392,Bproperty.com Ltd,http://www.bproperty.com/,7
0393,Green Agro Market.com,www.greenagromarket.com,7
0394,Global Shop Ltd,www.globalshopbd.com,7
0395,Othoba.Com,www.othoba.com,8
0396,Bikroy.com Limited,www.bikroy.com,10
0397,Website Solutions,www.websitesolutions.com.bd,10
0398,Glam Makers,www.glammakers.com,10
0399,New World Solution Bangladesh,www.nwslbd.com,10
0400,Pakhii.com,https://www.facebook.com/pakhishop,10
0401,Top Trendz,www.facebook.com/TOPTRENDZStudyRaihana/?hc_ref=,10
0402,Fsd Corporation For Social Development Ltd,www.fsdcorporation.com,10
0403,Teddy Tex,www.teddytex.com,10
0404,Raise IT Solutions Ltd,www.raiseitsolutions.com,9
0405,ejobs1.com,ejobs1.com,9
0406,Foodpanda Bangladesh Limited,www.foodpanda.com.bd,10
0407,Ghurbo Limited,www.ghurbo.com,10
0408,NS International,www.nsinternationalbd.net/,9
0409,A-Tech,www.atechbd.net,9
0410,Rongersaaj.com,www.rongersaaj.com,9
0411,kaayashop.com,www.kaayashop.com,9
0412,Florista. Delivery,http://florista.delivery,9
0413,Torrongo Communications,www.torrongo.com,10
0414,Desire Technology Bd,www.desirebazar.com,10
0415,Schope Infotech Ltd (SCHOPE),www.ariza.style,10
0416,QFP Limited,www.gobd.co,10
0417,vDörr Inc.,www.vdorr.com,10
0418,Sindabad.com,www.sindabad.com,6
0419,Kiksha.com Ltd,www.kiksha.com,6
0420,Shorgo.com,www.shorgo.com,6
0421,Sheba.XYZ (Sheba Platform Limited),www.sheba.xyz,7
0422,Infinity Technology International Ltd,www.infinitytechltd.com,30
0423,Magic Box bd.com,www.magicboxbd.com,7
0424,Glam Touch,www.glamtouch.com.bd,7
0425,Pickaboo,www.pickaboo.com,7
0426,ACI Agrolink Ltd,www.aci-bd.com/agrobusiness.php,7
0427,EySoft IT Solution,www.eysoftbd.com,8
0428,Alif Trade International,http://aliftradeint.com/,8
0429,Foster Corporation Ltd,www.fosterpayments.com,8
0430,NRB buysell.com,www.nrbbuysell.com,8
0431,Cotton Kraft.Com,http://cottonkraft.com/,8
0432,Hubdhaka,www.hubdhaka.com,8
0433,EzzyTech Networks,www.ezzytech.com,8
0434,Kart BD,www.kartbd.com,8
0435,Bg Mart .com.bd,BGMART.COM.BD,8
0436,BTI Holdings Ltd,www.amikinee.com,8
0437,kinbokoi,kinbokoi.com,8
0438,Karughor.com.bd,www.karughor.com.bd,10
0439,Foto Cart,www.fotocart.com.bd,10
0440,ZIT Engine,https://zitengine.com,7
0441,Priyoshop.com Limited,www.priyoshop.com,10
0442,Unimed & Unihealth Manufacturers Limited,www.biomed.com.bd,8
0443,Proshiddho,www.proshiddho.com,8
0444,ChalDal Limited,www.chaldal.com,7
0445,Spark It Ltd,www.sparkitbd.com,8
0446,Oniontiger Limited(SolidStyle),www.solidstyle.com,9
0447,Deshiphool.com,www.deshiphool.com,11
0448,Nexus Mansion,nexusmansion.com,8
0449,Journey Plus,www.journeyplus.com,8
0450,Cosmic Jovian,www.cosmicjovian.com,8
0451,Silver Wave Tours Ltd,www.silverwavetours.com,8
0452,STAR LIGHT TOURS & TRAVELS,www.starlighttoursbd.com,7
0453,Rangpur Source,www.rangpursource.com,8
0454,Wafi Solutions,www.wafilife.com,8
0455,Shopfront Limited,www.shopup.com.bd,8
0456,Rawn International Ltd,www.vendbd.com,8
0457,Ki Kinben,www.kikinben.com,8
0458,Chalo technologies ltd,www.chalox.com,8
0459,Classymalls.Com,www.classymalls.com,8
0460,Sonar International Ltd,www.sonar.com.bd,8
0461,Fashion Merry,www.fashionmerry.com,8
0462,Uninob Corporation (Tokitakishop Ltd),www.uninob.com,7
0463,Codage Corporation Limited,www.codagecorp.com,7
0464,Her Lifestyle,www.herlifestylebd.com,7
0465,Shat Rong BD,www.shatrongbd.com,7
0466,VideoTube,www.videotubeacademy.org/,7
0467,Medic Pharma Bangladesh,www.medicpharma.com.bd,7
0468,Smart Sale BD,www.smartsale.com.bd,7
0469,Digital Hut Bd. com,www.digitalhutbd.com,7
0470,Bethika,www.facebook.com/Bethikaonlineshop/,7
0471,Aristo Computers,www.aristocomputers.com,7
0472,RNH Consultant,RNH Consultant,7
0473,Web Host BD,www.webhostbd.com,11
0474,ZHost Bangladeash,http://www.zhostbd.com/contact/,8
0475,ShoptoBD,www.shoptobd.com,7
0476,Pathao Limited,www.pathao.com,7
0477,Akmatro.com,www.akmatro.com,7
0478,Twitiz,www.twitiz.com,8
0479,eSheba Organization,www.esheba.org,8
0480,Ritzy Outfits,www.ritzy.com.bd,7
0481,The Soft King IT Solution,www.thesoftking.com,7
0482,Nascenia Ltd,GoponJininsh.com,8
0483,ITBAZAAR 24.COM,ITBAZAAR.COM.BD,7
0484,RD Network BD,www.rdnetworkbd.com,8
0485,Info link Limited,www.infolinkbd.com,12
0486,Synergy Force Solutions,www.synergyforcesolutions.com,7
0487,Knack Solutions Limited,www.clickngrab.com,8
0488,Inter Trade Link,www.itlimpex.com,7
0489,Tradeshi Ltd,www.tradeshi.net,7
0490,Shooting Star Limited,www.esho.com,7
0491,SmartDeal ,www.facebook.com/smart.com.bd,7
0492,Pharma Aid,www.pharmaaid.co,7
0493,Firm Fresh Daily Store,www.farmfreshdaily.store,6
0494,South Asian Information & technology (SAIT Ltd.),http://www.saitltd.com/,6
0495,Kalporaj Interior,www.kalporajinterior.com,7
0496,Canvas Bangladesh,http://www.canvasbangladesh.com/,7
0497,Bd Online Mart,www.bdonlinemart.com,7
0498,Air International,www.airinternational-online.com,7
0499,Rajkumari,https://www.facebook.com/rajkumaribddotcom,7
0500,HG AVIATION LTD,www.flyregent.com,7
0501,Biddyut Limited,www.biddyut.com,7
0502,Oitijho.com Ltd,www.oitijho.com,9
0503,Tunic Shop,www.tunicshopbd.com,10
0504,Dot net limited,www.dotnet-bd.com,7
0505,Nayori,https://www.facebook.com/nayori/?fref=ts,7
0506,Feriwala,www.ferriwala.com.bd,7
0507,Sundarban Courier Service (PVT) Limited,www.sundarbancourierltd.com,7
0508,Marketplace Holding Limited,www.takabazar.com,7
0509,Halal Sodai,www.halalsodai.com,7
0510,SHOPOBOO,https://helper.com.bd/,7
0511,Chhip Food BD,www.chhipfood.com,7
0512,Karukar,www.facebook.com/jasiaonline,10
0513,Odommo Prokash,http://odommoprokash.com/,7
0514,Mim Technologies ltd.,www.khejuria.com,13
0515,Safara Online,www.safarait.com,8
0516,ORTHA,www.ortha.com.bd,7
0517,Amari Shop,www.amarishop.com,7
0518,Kenakata Protidin,www.facebook.com/  http://kenakata.protidin.com/,7
0519,iZoom Limited,www.izoom.com.bd,8
0520,PeopleNTech Limited,www.piit.us,8
0521,Sonali Bazar.Com,www.sonalibazar.com,7
0522,IT Clan BD,https://itclanbd.com,7
0523,Tripooly,www.tripooly.com,8
0524,Prokriti INC,www.facebook.com/prokriti,8
0525,Media Text Communications,www.mediatext24.com,12
0526,Pradhan IT Solutions,www.facebook.com/pradhanitdhaka,7
0527,Binary logic,www.binarylogic.com.bd,10
0528,Microsun Systems,www.microsun.com.bd,10
0529,Different Colours,https://www.facebook.com/differentcolours.bd/,7
